courseCode,courseName,timeslotGroup,timslotType,timeslotDay,timeslotFrom,timeslotTo,timeFrom8am,timeslotSize
GENS110,"Fundamentals of Management, Risk & Environment",1,Lecture,Tuesday,9:00,10:50,1,25
GENS110,"Fundamentals of Management, Risk & Environment",2,Lecture,Tuesday,11:00,12:50,3,25
GENS110,"Fundamentals of Management, Risk & Environment",3,Lecture,Tuesday,14:00,15:50,6,0
GENS110,"Fundamentals of Management, Risk & Environment",4,Lecture,Thursday,14:00,15:50,6,0
GENS120,Fundamentals of Economics and Accounting,1,Lecture,Sunday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,2,Lecture,Sunday,11:00,12:50,3,25
GENS120,Fundamentals of Economics and Accounting,3,Lecture,Tuesday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,4,Lecture,Tuesday,11:00,12:50,3,25
GENS120,Fundamentals of Economics and Accounting,5,Lecture,Thursday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,6,Lecture,Thursday,11:00,12:50,3,25
GENS202,Advanced Critical Thinking,1,Lecture,Sunday,9:00,10:50,1,25
GENS203,Entrepreneurship,1,Lecture,Sunday,11:00,12:50,3,25
GENS205,Advanced Risk Management,1,Lecture,Thursday,14:00,15:50,6,0
GENS206,Technical Writing in Arabic,1,Lecture,Tuesday,9:00,10:50,1,25
GENS208,Marketing,1,Lecture,Tuesday,9:00,10:50,1,25
GENS208,Marketing,2,Lecture,Tuesday,11:00,12:50,3,25
GENS210,Scientific Research Methods,1,Lecture,Tuesday,14:00,15:50,6,25
GENS235,Business Communication,1,Lecture,Sunday,14:00,15:50,6,25
GENS236,Service Management,1,Lecture,Sunday,9:00,10:50,1,0
GENS236,Service Management,2,Lecture,Sunday,11:00,12:50,3,0
GENS209,Selections of Life Long Skills,1,Lecture,Sunday,9:00,10:50,1,25
GENS209,Selections of Life Long Skills,2,Lecture,Thursday,9:00,10:50,1,25
MTHS005,Introduction to Probability and Statistics,1,Lecture,Sunday,8:00,10:50,0,25
MTHS005,Introduction to Probability and Statistics,1,Tutorial,Tuesday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,2,Lecture,Sunday,11:00,13:50,3,25
MTHS005,Introduction to Probability and Statistics,2,Tutorial,Tuesday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,3,Lecture,Tuesday,8:00,10:50,0,25
MTHS005,Introduction to Probability and Statistics,3,Tutorial,Thursday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,4,Lecture,Tuesday,11:00,13:50,3,25
MTHS005,Introduction to Probability and Statistics,4,Tutorial,Thursday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,1,Lecture,Sunday,11:00,13:50,3,25
MTHS102,Linear Algebra and Multivariable Integrals,1,Tutorial,Tuesday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,2,Lecture,Sunday,8:00,10:50,0,25
MTHS102,Linear Algebra and Multivariable Integrals,2,Tutorial,Tuesday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,3,Lecture,Thursday,8:00,10:50,0,25
MTHS102,Linear Algebra and Multivariable Integrals,3,Tutorial,Tuesday,9:00,10:50,1,25
MTHS102,Linear Algebra and Multivariable Integrals,4,Lecture,Tuesday,11:00,13:50,3,25
MTHS102,Linear Algebra and Multivariable Integrals,4,Tutorial,Thursday,11:00,12:50,3,25
MTHS114,Numerical Analysis,1,Lecture,Sunday,8:00,10:50,0,25
MTHS114,Numerical Analysis,1,Tutorial,Sunday,11:00,12:50,3,25
MTHS114,Numerical Analysis,2,Lecture,Thursday,8:00,10:50,0,25
MTHS114,Numerical Analysis,2,Tutorial,Thursday,11:00,12:50,3,25
MTHS004,Discrete Mathematics,1,Lecture,Tuesday,8:00,10:50,0,25
MTHS004,Discrete Mathematics,1,Tutorial,Thursday,9:00,10:50,1,25
MTHS104,Differential Equations,1,Lecture,Sunday,8:00,10:50,0,25
MTHS104,Differential Equations,1,Tutorial,Tuesday,11:00,12:50,3,25
MTHS104,Differential Equations,2,Lecture,Sunday,13:00,15:50,5,25
MTHS104,Differential Equations,2,Tutorial,Tuesday,9:00,10:50,1,25
MTHS104,Differential Equations,3,Lecture,Sunday,8:00,10:50,0,25
MTHS104,Differential Equations,3,Tutorial,Tuesday,9:00,10:50,1,25
MTHS104,Differential Equations,4,Lecture,Tuesday,8:00,10:50,0,25
MTHS104,Differential Equations,4,Tutorial,Sunday,11:00,12:50,3,25
CHES201,Fluid Mechanics,1,Lecture,Sunday,9:00,10:50,1,25
CHES201,Fluid Mechanics,1,Tutorial,Sunday,11:00,12:50,3,25
CHES210,Data Science in Chemical Engineering,1,Lecture,Sunday,11:00,12:50,3,25
INTS201,Electrical Engineering,1,Lecture,Sunday,14:00,15:50,6,25
INTS201,Electrical Engineering,1,Tutorial,Monday,14:00,15:50,6,25
CHES402,Petrochemicals from Oil and Gas,1,Lecture,Sunday,16:00,17:50,8,25
CHES402,Petrochemicals from Oil and Gas,1,Tutorial,Sunday,14:00,15:50,6,25
CHES202,Physical Chemistry-1,1,Lecture,Monday,9:00,10:50,1,25
CHES202,Physical Chemistry-1,1,Tutorial,Monday,11:00,12:50,3,25
PES202,General Geology,1,Lecture,Monday,16:00,17:50,8,25
PES202,General Geology,1,Tutorial,Sunday,16:00,17:50,8,25
